"","subjnum","mean.dist","stdev.dist"
"V162",157,36.4087136929461,17.5407254341201
"V163",158,33.9516129032258,9.23459877613809
"V164",159,42.4161943319838,15.587436991439
"V165",16,49.5,21.7248635661929
"V166",160,30.6680412371134,11.9253492974447
"V167",161,29.1,4.27466107109409
"V168",162,15.5102040816327,6.05176592903421
"V169",163,41.75,3.9806983804302
"V170",17,49.8684210526316,15.9896974976127
"V171",18,30.4448529411765,13.6941015680471
"V172",19,53.2036082474227,18.2842704666767
"V173",2,33.75,10.668915482642
"V174",20,36.7372881355932,16.0794251747522
"V175",21,48.1745283018868,16.4492010610511
"V176",22,19.6125,7.24676652031787
"V177",24,39.0548780487805,22.1693786254152
"V178",25,37.4698113207547,12.1072008517355
"V179",26,20.93,6.65122074312208
"V180",27,42.85,14.7411161399164
"V181",28,25.8125,7.31270086960108
"V182",29,34.5518867924528,17.9005497487224
"V183",30,25.3316831683168,10.4666798049149
"V184",31,34.4933753943218,12.1646661090776
"V185",32,29.9666666666667,12.5532072722676
"V186",33,32.9396984924623,13.7078603827246
"V187",34,15.6692307692308,4.74078133774462
"V188",35,36.1578947368421,12.3102827831434
"V189",36,33.8241469816273,14.0585914776778
"V190",37,29.7457489878543,8.80019240283874
"V191",38,27.8181818181818,7.27358849734305
"V192",39,13.755,6.15354664918016
"V193",4,24.375,16.32859779836
"V194",40,17.4059405940594,10.4710822915511
"V195",41,49.9434495758718,20.4003932392397
"V196",42,41.3278846153846,14.1353688967127
"V197",43,10.125,3.8664608145912
"V198",44,32,0
"V199",45,73.1521739130435,23.5146073514588
"V1100",46,37.5,2.66500895444513
"V1101",47,27.4539473684211,12.4904407505463
"V1102",48,48.3512064343164,18.5539747326365
"V1103",49,29.31,9.1438503924769
"V1104",5,28.8732394366197,8.14222786085038
"V1105",50,32.3663366336634,17.6630817086245
"V1106",51,35.1710213776722,13.6710230972569
"V1107",52,69.4455445544555,2.74399434228554
"V1108",53,32.443413729128,16.3200462928686
"V1109",54,40.152380952381,14.5381028434151
"V1110",55,36.6136363636364,17.1657169666174
"V1111",56,40.235,16.3760966168388
"V1112",57,35.7,13.5143021882879
"V1113",58,37.7829222011385,14.0674182180965
"V1114",59,8.82211538461539,2.80768559392324
"V1115",6,30.9796610169492,11.0675496993366
"V1116",60,36.4759036144578,11.6893900648247
"V1117",61,33.3366336633663,7.38481851872173
"V1118",62,26.2439024390244,13.1082138330149
"V1119",63,23.1308411214953,3.45273780389476
"V1120",64,33.8352941176471,4.63531579349742
"V1121",65,33.1069486404834,13.2248898903386
"V1122",66,25.2155172413793,8.20179057050788
"V1123",67,36.4734636871508,12.7806552496196
"V1124",68,33.0412844036697,10.1978411931986
"V1125",69,43.1842105263158,12.3332373723377
"V1126",70,40.8375,12.9611197432938
"V1127",72,34.0678642714571,13.8941493165124
"V1128",73,37.5371287128713,15.7722614952095
"V1129",74,17.966,7.01260366062493
"V1130",76,8.16022099447514,6.63590971372184
"V1131",77,27.5020920502092,12.7239270064436
"V1132",78,36.715,17.6267781537299
"V1133",79,31.5891891891892,13.5522126372532
"V1134",8,36.75,20.2836576503541
"V1135",80,33.7152,21.853401064011
"V1136",81,31.4795268425842,12.8096719404591
"V1137",82,32.1014409221902,12.3967119078341
"V1138",83,22.3861386138614,7.96708264928851
"V1139",84,29.4424778761062,12.8064365656729
"V1140",85,36.75,10.7633789250655
"V1141",86,52.4896836313618,20.692011228676
"V1142",87,37.421052631579,2.62623860047081
"V1143",88,26.85,8.97850969613757
"V1144",89,36.8796680497925,13.7172987244962
"V1145",9,22.3152317880795,12.3285787340058
"V1146",90,38.0079872204473,14.7001798820266
"V1147",91,29.1878453038674,16.5657613828061
"V1148",92,23.5349264705882,7.26573470031036
"V1149",93,41.4354354354354,19.4289809005173
"V1150",94,13.6763888888889,6.15496706313581
"V1151",95,32.5281553398058,11.1582152754146
"V1152",96,30,6.26787899164797
"V1153",97,22.2759103641457,9.48380832295495
"V1154",98,29.625,13.1911213252772
"V1155",99,35.312015503876,12.6485169708122
